"subject_id","value.fit_glaze_osc_zeta_v4","value.fit_glaze_osc_zeta_v4_one_amp","value.fit_glaze_osc_zeta_v4_LLR_amp","value.fit_glaze_osc_zeta_v4_Prior_amp","value.fit_glaze_osc_zeta_v4_no_amp","value.fit_glaze_osc_zeta_v4_no_integration"
5754,116.421182967176,119.093613424307,120.356222892075,116.158960815759,121.056906406549,121.782185997801
5755,117.029048569888,117.029508821963,119.652860941004,119.050001457419,119.652860412637,119.709905805275
5756,118.12991564087,119.608901814025,119.700925944249,NA,120.563984835444,120.758363140404
5757,NA,121.166128740562,121.174409750844,120.728984178534,123.558848011929,123.757047670345
5758,118.001297040434,121.266341886723,137.286419922128,120.753177021505,121.266339508956,121.782185997801
5759,119.892018489254,120.49757592575,119.902290641758,119.668253028178,122.590921957486,122.781657211057
5760,113.901831629572,113.889775335155,138.134851648011,117.590801456578,142.439099940669,118.636518592727
5761,115.61497766429,117.072721380852,116.767860120373,113.65757460915,117.44494393262,117.537892866179
5762,NA,126.494112411309,136.963686903611,126.328376763862,137.671844535414,127.422833060786
5763,118.78151506182,120.290854446321,118.410674167288,120.141934847487,121.13698164201,122.781657211057
5764,NA,126.203063168616,123.212778182737,124.442696962673,126.810290177688,127.422833060786
5765,120.138887308209,120.770628381542,121.429276244193,NA,122.765930161026,122.781657211057
5766,118.432138846608,118.544715417336,119.732530728039,120.187898524888,120.921769931755,123.757047670345
5767,117.442172630267,117.925141416947,117.441969823246,116.946253958929,119.545467529029,120.758363140404
5768,106.337123259264,107.41516237631,NA,NA,102.78931137491,119.709905805275
5769,121.992912482092,122.003776583185,121.982270503072,NA,122.487739794072,124.708616901182
5770,120.515707635259,122.59020061393,123.943487139713,122.968287077793,123.943492852543,125.636613602908
5771,NA,120.661404708809,123.612351392046,120.937349604467,124.145365672617,124.708616901182
5772,NA,121.828530397153,121.861733368507,120.192205032131,122.561137747639,122.781657211057
5773,113.813640771293,114.215986325868,113.813815135305,115.930902040946,117.375970272519,117.537892866179
5774,NA,124.912241789569,126.504984668111,124.843474673519,126.504982396174,126.541276150226
5775,NA,117.303500402637,117.491958516148,116.653759110653,118.408648877024,118.636518592727
5776,114.118983040471,114.180370639176,114.021872236169,113.629745622898,115.253262387778,115.263620741855
5777,119.369035627903,NA,129.743341562179,121.816947817262,124.705854021838,NA
5778,121.234870678981,121.797850329258,117.597564248943,122.48483472231,121.362804187156,122.781657211057
5779,127.572970146126,129.282101853107,NA,128.010676599597,137.03539038821,128.281503431529
5780,112.753340817621,112.765378209775,112.829991173376,NA,112.974968981768,117.537892866179
5781,122.974973015795,123.059232878141,143.833930150348,136.761151332351,143.83393214878,123.757047670345
5782,NA,124.909236060428,125.302535282741,NA,127.743835355073,128.281503431529
5783,NA,119.748990360469,120.065189892144,119.385494826766,120.655639176905,120.758363140404
5784,114.912247742429,117.499542778902,116.112851641378,116.798147491408,117.499544850142,117.537892866179
5785,124.166425698588,124.209763621964,123.849746771741,125.228386683993,125.308469485508,126.541276150226
5786,121.571197358714,122.73408894975,139.695661512265,121.4063211113,141.514751333162,122.781657211057
5787,NA,118.984062111151,119.072730857636,119.416123086705,119.432330758081,121.782185997801
5788,125.210363853967,125.195355907838,125.104224618633,NA,126.343984638084,126.541276150226
5789,NA,124.420639932921,138.561584177148,124.891360607807,125.368324510666,125.636613602908
5790,119.830700037208,119.840916909958,120.278044153382,120.195499224736,142.819949093254,121.782185997801
5791,NA,120.533333031804,120.218370788332,121.278303658411,123.331500499192,123.757047670345
5792,126.853720327393,127.396533498405,127.417302241004,NA,127.417303546824,127.422833060786
5793,127.661923495763,128.445401968931,133.055896888113,123.444976870379,134.073551245094,124.708616901182
5794,119.646803227695,119.634305574041,119.60229131189,120.560416549496,120.703841034745,120.758363140404
5795,NA,121.652352002009,121.690966101149,121.839872340815,122.477705447284,122.781657211057
5796,NA,117.57418353954,120.411995672351,NA,120.412025756844,122.781657211057
