"subject_id","sum_value.fit_glaze_osc_zeta_v4_mouse","sum_value.fit_glaze_osc_zeta_v4_one_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_LLR_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_Prior_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_no_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_no_integration_mouse"
97,17321.4951665348,17313.0353288152,17634.5002210417,17371.6820668827,17522.0464374815,17445.1890884121
99,1843.15062918873,1840.50720051033,1837.18601663097,1884.04552067977,1895.98664607969,1901.69763795173
100,4201.13626181314,4212.30874375749,4193.28008166587,4224.71122315848,4232.45627983964,4240.32543587341
101,3704.64889025922,3699.24675580832,3694.98515014668,3740.55377277813,3743.21357447055,3754.2779523488
102,1697.79353879348,1685.6296356491,1700.01042645676,1712.49700449003,1720.87331254136,1723.8776080172
103,4807.71721435202,4896.02855898082,4779.4452212648,4858.81646164283,4862.33237955557,4866.82797366829
104,1709.74239841136,1719.54679001382,1707.06105632882,1715.78018599558,1725.14968695253,1729.3081997786
106,4560.91179879238,4586.49206878397,4670.77831196427,4611.34266107221,4624.79755946015,4629.02617016352
107,1121.70315168825,1127.44250128221,1107.02719066952,1137.95868249526,1147.33168235676,1173.83123544669
108,3798.2710227262,3802.25538475453,3813.82267171558,3820.32048442113,3827.10721970522,3858.705708158
109,1393.36136116649,1387.93096203809,1389.2460324822,1396.81680050327,1401.57992488192,1406.80107602229
110,225.907086175295,225.905038318414,224.635920981966,229.886836708017,230.457102435568,230.476282062866
111,8067.21645034887,8087.39644909571,8136.38951840518,8221.03944581229,8170.44839423353,8199.04987509184
112,5475.02153738538,5471.84514033418,5466.22273014242,5474.70176853095,5483.66996417698,5493.3622250295
113,6685.09358466686,6669.03983858868,6706.90616940019,6704.50369791205,6892.70649756042,6733.21794074785
115,2007.22809505051,2015.92920916244,2121.80321165429,2016.66666417137,2106.04681396071,2034.23903751017
116,3235.71141812739,3254.2033096142,3303.53329907961,3254.72057924809,3278.07534172607,3288.38101717131
117,6585.90469160945,6671.4934953169,6650.99373692641,6605.17067064879,6672.25085702144,6628.06612371672
118,3085.44746022466,3075.89515055245,3084.80172176552,3115.44625338524,3119.46295718146,3122.12105516366
120,5953.54322707308,5940.5980516338,6001.8986466635,6007.17551093843,6095.97271097421,6046.78263961164
121,3987.14160254844,3997.65992649665,3995.89075229548,4018.37372489198,4026.36151861385,4035.84804934096
122,3901.50909798974,3904.19131546974,3987.88619137197,3918.07640901665,3930.19666410975,3933.89012358029
123,17550.3680142009,17619.2508521783,17571.1969577944,17627.6301217894,17701.6030058652,17641.3466501038
124,5336.99070801483,5343.99605187972,5476.47090754252,5350.76860591287,5510.79890940429,5373.21706478631
126,3870.90600097699,3862.39755902976,3875.00123813365,3886.21881430424,3890.12535772493,3893.13415533849
127,3560.89066283089,3570.63818748036,3566.92830201623,3571.29185408193,3586.3612681042,3602.17210872324
128,2695.46514850359,2705.4719919538,2725.92711985563,2751.47456474202,2757.69347864691,2725.62753631807
129,4959.60795870379,4989.07876583782,4976.86138873349,4969.55700076377,4990.16532824294,5012.6708009195
130,6934.28286690114,6924.8281167004,6963.40698867695,6948.17445993378,6972.13005397587,6983.67621917792
131,14107.056269563,13979.8784415432,14025.2597625969,14088.6689138825,14047.4130405125,14084.9095300627
132,4651.97860643837,4671.1169371002,4838.47222239205,4696.89650721,4701.94185226915,4714.9040821402
133,3241.3106402722,3244.77802391107,3309.27891881626,3291.41600059797,3368.46075150063,3299.59885397029
134,8240.06814490585,8330.74212956305,8498.03678735609,8602.38235196912,8933.95219100591,8714.26955629497
