"","p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
"L-BFGS-B1779",0.459112896565067,5.76024117021583,0.989949701844521,0.624945047393555,0.0618401007878214,3.23580018305217,0.99920458287955,317.003543091713,54,54,NA,0,FALSE,FALSE,22.1699999999837,171,22,609,7,"fit_glaze_osc_zeta_v4_mouse",648.007086183427,648.193442256638
"L-BFGS-B1780",0.409069954006649,4.09851157586408,1.24491765936649,1.10405601249229,0.0325674745540162,4.70149719894017,0.999,407.721585760649,110,110,NA,0,FALSE,FALSE,51.7300000000105,171,23,691,7,"fit_glaze_osc_zeta_v4_mouse",829.443171521298,829.607153951752
"L-BFGS-B1781",0.607484301350929,4.66611162555368,2.36638679724708,0.805337995103043,0.0341516153494262,2.02921412918933,0.999000563708073,468.501286415648,151,151,NA,0,FALSE,FALSE,88.6199999999953,171,24,848,7,"fit_glaze_osc_zeta_v4_mouse",951.002572831297,951.13590616463
"L-BFGS-B1782",0.613030927902872,3.78162387491393,0.992062027243911,0.497302207418799,0.078476611489036,2.65546779155362,1.001,288.611869434036,111,111,NA,1,FALSE,FALSE,38.4800000000105,171,25,512,7,"fit_glaze_osc_zeta_v4_mouse",591.223738868071,591.445961090293
"L-BFGS-B1783",0.482335819210239,7.436834421177,1.01674462888647,0.866331902528389,0.190565577440346,3.12379482041287,1.001,361.142610628772,40,40,NA,0,FALSE,FALSE,19,171,26,692,7,"fit_glaze_osc_zeta_v4_mouse",736.285221257545,736.448963947603
"L-BFGS-B1784",0.516900358713429,2.91833075593771,1.0177576184313,0.218666364733349,0.129261907558963,3.33072405560451,1.00099487244775,523.5010021045,79,79,NA,0,FALSE,FALSE,49.5500000000175,171,27,915,7,"fit_glaze_osc_zeta_v4_mouse",1061.002004209,1061.12548822223
"L-BFGS-B1785",0.489469168837767,2.89941721717154,0.17199973731304,0.0946595188452631,0.120431081773215,2.87159899482341,1.001,616.101000363654,93,93,NA,0,FALSE,FALSE,70.2799999999988,171,28,1087,7,"fit_glaze_osc_zeta_v4_mouse",1246.20200072731,1246.30580054195
"L-BFGS-B1786",0.65306323011136,2.31523032292693,2.36038617622905,0.729044092196146,0.052353150391725,0.382433159898636,1.001,383.861377423256,108,108,NA,0,FALSE,FALSE,55.2799999999988,173,17,751,7,"fit_glaze_osc_zeta_v4_mouse",781.722754846512,781.873495088773
"L-BFGS-B1787",0.555958414007252,6.77708605534157,0.644100976183003,1.28489292012045,0.0499330987673066,1.02190865896053,0.999007867191341,144.691793032038,159,159,NA,0,FALSE,FALSE,49.1399999999849,173,18,460,7,"fit_glaze_osc_zeta_v4_mouse",303.383586064077,303.631373674696
"L-BFGS-B1788",0.603429188913974,2.6766464057194,1.01529339966791,0.299918829904736,0.0459823566661604,3.20710421375468,0.999,422.575130439894,60,60,NA,0,FALSE,FALSE,34.6000000000058,173,20,842,7,"fit_glaze_osc_zeta_v4_mouse",859.150260879789,859.284553445736
"L-BFGS-B1789",0.676788626903608,5.8234088177213,0.966439905164652,1.08805303650714,0.159400304567356,4.92094417524712,1.001,341.734887212663,113,113,NA,0,FALSE,FALSE,52.0799999999872,173,21,674,7,"fit_glaze_osc_zeta_v4_mouse",697.469774425326,697.637942593495
"L-BFGS-B1790",0.612021312477059,7.03767363837978,1.08748071203206,0.448541577195948,0.198090931357655,4.60780083807004,0.999,255.891807423554,88,88,NA,0,FALSE,FALSE,31.8999999999942,173,22,537,7,"fit_glaze_osc_zeta_v4_mouse",525.783614847109,525.995335073952
"L-BFGS-B1791",0.644489355964616,11.5701939196041,0,1.83658941380943,0.0496774064083679,0.602133440478398,1.0002519987158,40.9702485356111,123,123,NA,0,FALSE,FALSE,6.69000000000233,173,38,81,7,"fit_glaze_osc_zeta_v4_mouse",95.9404970712222,97.4747436465647
"L-BFGS-B1792",0.01,2.55994213144054,1.36497167919021,0.0406365126353735,0.0444284233552801,2.51723984221836,1.001,56.1606950289488,57,57,NA,0,FALSE,TRUE,4.36000000001513,173,40,112,7,"fit_glaze_osc_zeta_v4_mouse",126.321390057898,127.398313134821
"L-BFGS-B1793",0.258273276614023,3.85121782055846,0,0.899201270945467,0.040971529579744,3.20956468672282,0.999,416.702825421261,116,116,NA,0,FALSE,FALSE,58.4599999999919,173,50,734,7,"fit_glaze_osc_zeta_v4_mouse",847.405650842523,847.559920814975
