"amp_on","amp","feedback_level","Variable","subject_id","Mean","Error"
0,0.5,0,"Accuracy",556,0.8705,0.00750953204505899
0,0.5,0,"Accuracy",564,0.855,0.00787518312514873
0,0.5,0,"Accuracy",570,0.8805,0.00725508050241679
0,0.5,0,"Accuracy",577,0.8755,0.00738424935719838
0,0.5,0,"Accuracy",579,0.8715,0.0074847769467748
0,0.5,0,"Accuracy",581,0.846,0.00807307793184525
0,0.5,0,"Accuracy",598,0.865,0.00764308238567249
0,0.5,0,"Accuracy",606,0.8885,0.00703979078717284
0,0.5,0,"Accuracy",607,0.8785,0.00730722743497102
0,0.5,0,"Accuracy",608,0.79,0.00910996683571757
0,0.5,0,"Accuracy",613,0.875,0.00739694919738634
0,0.5,0,"Accuracy",634,0.8655,0.00763111996996496
0,0.5,0,"Accuracy",654,0.8435,0.00812630872209045
0,0.5,0,"Accuracy",655,0.851,0.00796437163923205
0,0.5,0,"Accuracy",656,0.8865,0.00709464882999931
0,0.5,0,"Accuracy",660,0.8735,0.00743481763438945
0,0.5,0,"Accuracy",665,0.9035,0.00660421704984177
0,0.5,0,"Accuracy",670,0.8695,0.00753413940860628
0,0.5,0,"Accuracy",671,0.829,0.0084211019159454
0,0.5,0,"Accuracy",672,0.886,0.00710825320538147
0,0.5,0,"Accuracy",679,0.897,0.0067984269728116
0,0.5,0,"Accuracy",682,0.8515,0.00795333280778415
0,0.5,0,"Accuracy",690,0.8475,0.00804078367455875
0,0.5,0,"Accuracy",696,0.854,0.00789766969385886
0,0.5,0,"Accuracy",701,0.8875,0.00706730842854705
0,0.5,0,"Accuracy",705,0.891,0.00697020744999372
0,0.5,0,"Accuracy",707,0.8595,0.00777239216972613
0,0.5,0,"Accuracy",716,0.8775,0.00733305951707338
0,0.5,0,"Accuracy",728,0.824,0.00851752746617635
0,0.5,0,"Accuracy",729,0.844,0.00811572131521488
0,0.5,0,"Accuracy",738,0.876,0.00737151067182246
0,0.5,0,"Accuracy",740,0.8655,0.00763111996996496
0,0.5,0,"Accuracy",742,0.859,0.00778394468746077
0,0.5,0,"Accuracy",744,0.8745,0.00740961039212465
0,0.5,0,"Accuracy",747,0.844,0.00811572131521488
0,0.5,0,"Accuracy",748,0.7845,0.00919631236314536
0,0.5,0,"Accuracy",764,0.8355,0.00829181838477321
0,0.5,0,"Accuracy",765,0.861,0.00773753414967318
0,0.5,0,"Accuracy",772,0.839,0.00822029723570393
0,0.5,0,"Accuracy",773,0.8665,0.00760708938454467
0,0.5,0,"Accuracy",800,0.8205,0.00858351404476502
0,0.5,0,"Accuracy",809,0.855,0.00787518312514873
0,0.5,0,"Accuracy",810,0.88,0.00726817812155173
0,0.5,0,"Accuracy",811,0.878,0.00732016341321682
0,0.5,0,"Accuracy",812,0.8625,0.00770237224945241
0,0.5,0,"Accuracy",823,0.8485,0.00801910394084071
0,0.5,0,"Accuracy",827,0.8845,0.00714880603414703
0,0.5,0,"Accuracy",836,0.876,0.00737151067182246
0,0.5,0,"Accuracy",841,0.877,0.00734591595654486
0,0.5,0,"Accuracy",843,0.848,0.00802995891148018
0,0.5,0,"Accuracy",844,0.837,0.00826133311351178
0,0.5,0,"Accuracy",847,0.858,0.00780695038008559
0,0.5,0,"Accuracy",853,0.8965,0.00681300840611333
0,0.5,0,"Accuracy",856,0.851,0.00796437163923205
