"amp_on","amp","feedback_level","Variable","subject_id","Mean","Error"
1,1,0.6,"H",15,0.172552042284403,0.00308194487018739
1,1,0.6,"P",15,0.0914576209926963,0.00129950831599966
0,1,0.6,"Accuracy",16,0.823,0.00853650607496908
0,1,0.6,"H",16,0.156649248002654,0.0027998421893541
0,1,0.6,"P",16,0.107467067519217,0.00109594951898657
1,1,0.6,"Accuracy",16,0.8065,0.00883560461736927
1,1,0.6,"H",16,0.141347373208663,0.00291266961366533
1,1,0.6,"P",16,0.107067973704752,0.0014860696304964
0,1,0.6,"Accuracy",17,0.8585,0.00779546404198075
0,1,0.6,"H",17,0.107988930151816,0.00214345618001083
0,1,0.6,"P",17,0.103330185616787,0.00112446147316354
1,1,0.6,"Accuracy",17,0.8555,0.00786389187347454
1,1,0.6,"H",17,0.113899534646752,0.00220415776030021
1,1,0.6,"P",17,0.0898773093357573,0.00117515138095063
0,1,0.6,"Accuracy",18,0.826,0.00847926582756357
0,1,0.6,"H",18,0.16161569015068,0.00295553414781721
0,1,0.6,"P",18,0.0978071240099631,0.00145391759622868
1,1,0.6,"Accuracy",18,0.7995,0.00895488525805845
1,1,0.6,"H",18,0.16873646892445,0.00302308820067887
1,1,0.6,"P",18,0.0985981643693168,0.00161173842645428
0,1,0.6,"Accuracy",19,0.8035,0.00888725867089181
0,1,0.6,"H",19,0.15014909060947,0.00265927084785979
0,1,0.6,"P",19,0.112228708577527,0.00144018825132425
1,1,0.6,"Accuracy",19,0.7815,0.00924237987711479
1,1,0.6,"H",19,0.153651025560319,0.00297177570133431
1,1,0.6,"P",19,0.111634963244704,0.00144673770015065
0,1,0.6,"Accuracy",20,0.8345,0.00831200455424893
0,1,0.6,"H",20,0.186541234207116,0.00275239756783748
0,1,0.6,"P",20,0.104888555339441,0.00112402590864176
1,1,0.6,"Accuracy",20,0.823,0.00853650607496908
1,1,0.6,"H",20,0.197052811322671,0.00257665366503693
1,1,0.6,"P",20,0.10000424575744,0.00124979141380218
0,1,0.6,"Accuracy",21,0.8155,0.0086756849155774
0,1,0.6,"H",21,0.156887516303403,0.00275928129386237
0,1,0.6,"P",21,0.0981790008344332,0.00130920892168695
1,1,0.6,"Accuracy",21,0.8255,0.00848886950381064
