"amp_on","amp","feedback_level","Variable","subject_id","Mean","Error"
1,1,0,"Accuracy",24,0.773,0.00936906557212871
1,1,0,"H",24,0.184499268746163,0.00270479262329151
1,1,0,"P",24,0.155706100283645,0.00145469944862998
0,1,0,"Accuracy",25,0.86,0.00776080634067935
0,1,0,"H",25,0.105999845956459,0.00264257758739831
0,1,0,"P",25,0.133195633506231,0.00137576584003168
1,1,0,"Accuracy",25,0.842,0.00815789652041621
1,1,0,"H",25,0.138495869246662,0.00300890537054399
1,1,0,"P",25,0.125958960189039,0.00136844946231519
0,1,0,"Accuracy",26,0.857,0.00782982458785242
0,1,0,"H",26,0.188478958246075,0.00306055996918574
0,1,0,"P",26,0.135269434464455,0.00118361755322419
1,1,0,"Accuracy",26,0.854,0.00789766969385886
1,1,0,"H",26,0.185890102829267,0.00339976728067203
1,1,0,"P",26,0.123045728628503,0.00124867354013973
0,1,0,"Accuracy",27,0.78,0.00926514551751511
0,1,0,"H",27,0.211063678830942,0.00333285156620786
0,1,0,"P",27,0.166622124067646,0.00131368006885255
1,1,0,"Accuracy",27,0.7765,0.0093175792801468
1,1,0,"H",27,0.189921119229441,0.00316755045253399
1,1,0,"P",27,0.146892374597459,0.00146586735945652
0,1,0,"Accuracy",28,0.8275,0.00845030051473879
0,1,0,"H",28,0.186469437536043,0.00279316408425814
0,1,0,"P",28,0.16688401285801,0.0014951269672026
1,1,0,"Accuracy",28,0.807,0.00882691663201904
1,1,0,"H",28,0.191403514723551,0.00233973642613897
1,1,0,"P",28,0.148706608127547,0.00167133108815958
0,1,0,"Accuracy",29,0.8585,0.00779546404198075
0,1,0,"H",29,0.184839791117822,0.00368351624532452
0,1,0,"P",29,0.152857437118802,0.00140696885043789
1,1,0,"Accuracy",29,0.855,0.00787518312514873
1,1,0,"H",29,0.181136715352688,0.00357416637868336
1,1,0,"P",29,0.132920159629913,0.00140540219590717
0,1,0,"Accuracy",30,0.8055,0.00885291262980809
0,1,0,"H",30,0.148128171812354,0.00240921279090258
0,1,0,"P",30,0.16146423640317,0.0017425738263813
1,1,0,"Accuracy",30,0.8065,0.00883560461736927
1,1,0,"H",30,0.133487062991606,0.00261181252937979
1,1,0,"P",30,0.140534127263756,0.00176813150768565
0,1,0,"Accuracy",31,0.8015,0.00892124819376007
0,1,0,"H",31,0.232903428903729,0.0031854521618919
0,1,0,"P",31,0.157399480071741,0.00141488119225933
1,1,0,"Accuracy",31,0.8045,0.00887013047295831
1,1,0,"H",31,0.227637851379288,0.00306245253378187
1,1,0,"P",31,0.133604538505385,0.00137807582991894
0,1,0,"Accuracy",32,0.8135,0.00871187829412842
0,1,0,"H",32,0.185562559032487,0.00269310986879684
0,1,0,"P",32,0.170421793851662,0.00125385403802375
1,1,0,"Accuracy",32,0.7905,0.00910199418529119
1,1,0,"H",32,0.200345455214131,0.00273688827061787
1,1,0,"P",32,0.163869758463755,0.00138387917423929
0,1,0,"Accuracy",33,0.816,0.00866657687771756
0,1,0,"H",33,0.181979649485397,0.00319628660809017
0,1,0,"P",33,0.154999909586381,0.00133718452538972
1,1,0,"Accuracy",33,0.7705,0.00940527004143295
1,1,0,"H",33,0.206520829378371,0.00355544852980537
1,1,0,"P",33,0.154074994941797,0.00142998198281871
0,1,0,"Accuracy",34,0.867,0.00759502088022709
0,1,0,"H",34,0.182504273226847,0.00303299503576014
0,1,0,"P",34,0.142244017267761,0.00131222384811149
1,1,0,"Accuracy",34,0.848,0.00802995891148018
1,1,0,"H",34,0.196645254646407,0.00331128473595811
1,1,0,"P",34,0.134950951085327,0.00133537793582056
0,1,0,"Accuracy",35,0.8515,0.00795333280778415
0,1,0,"H",35,0.141661223161745,0.00276585143074071
0,1,0,"P",35,0.149492864022568,0.00129477276774902
1,1,0,"Accuracy",35,0.8435,0.00812630872209045
1,1,0,"H",35,0.134108038033423,0.00263842258445399
1,1,0,"P",35,0.13535138599701,0.00117307307884687
0,1,0,"Accuracy",36,0.827,0.00845998142095013
0,1,0,"H",36,0.177057680161624,0.00286625585725998
0,1,0,"P",36,0.158499215172444,0.00128226409152038
1,1,0,"Accuracy",36,0.799,0.00896323991840659
1,1,0,"H",36,0.183084746116434,0.00317974440360475
1,1,0,"P",36,0.147236501306532,0.00137420889823072
0,1,0,"Accuracy",37,0.838,0.00824087106912789
0,1,0,"H",37,0.187774875714714,0.00285639311562402
0,1,0,"P",37,0.146539374727239,0.00153784329712286
1,1,0,"Accuracy",37,0.8285,0.00843086085209296
1,1,0,"H",37,0.183216755659631,0.00304114464268106
1,1,0,"P",37,0.135590528761213,0.00146275689111699
0,1,0,"Accuracy",38,0.7925,0.00906989561699867
0,1,0,"H",38,0.214627313968516,0.00308633476042795
0,1,0,"P",38,0.15497720707225,0.00157427234442044
1,1,0,"Accuracy",38,0.7855,0.00918079618057468
1,1,0,"H",38,0.194946123586283,0.00276844421995981
1,1,0,"P",38,0.142342770233263,0.00160910589108949
0,1,0,"Accuracy",39,0.846,0.00807307793184525
0,1,0,"H",39,0.151953964682841,0.00261756152697625
0,1,0,"P",39,0.157751380453157,0.00136312068496192
1,1,0,"Accuracy",39,0.8465,0.00806234306438543
1,1,0,"H",39,0.135679973422174,0.00263249369700691
1,1,0,"P",39,0.140797841766121,0.00143562483876504
0,1,0,"Accuracy",40,0.814,0.00870286561627648
0,1,0,"H",40,0.192511384347851,0.00302791571288179
0,1,0,"P",40,0.171797683054967,0.00131568794979441
1,1,0,"Accuracy",40,0.806,0.00884426992777118
1,1,0,"H",40,0.203080911612687,0.0032958539283488
1,1,0,"P",40,0.160844968811052,0.00139545153057551
0,1,0,"Accuracy",41,0.84,0.00819961077176254
0,1,0,"H",41,0.157686734485562,0.00247460286815518
0,1,0,"P",41,0.152307779541863,0.00128097588176413
1,1,0,"Accuracy",41,0.8425,0.00814739621182843
1,1,0,"H",41,0.142000453310029,0.00222732834075199
1,1,0,"P",41,0.125223501121169,0.0013057189852251
0,1,0,"Accuracy",42,0.8295,0.00841131678900887
0,1,0,"H",42,0.17839487238315,0.0028737004872345
0,1,0,"P",42,0.128167477929956,0.00135722228094314
1,1,0,"Accuracy",42,0.8255,0.00848886950381064
1,1,0,"H",42,0.182055382970523,0.00324831203787339
1,1,0,"P",42,0.11773126017288,0.0013931030235311
0,1,0,"Accuracy",43,0.8505,0.00797537951066716
0,1,0,"H",43,0.169019028679218,0.00323254493499929
0,1,0,"P",43,0.137745733369242,0.00169953504901308
1,1,0,"Accuracy",43,0.826,0.00847926582756357
1,1,0,"H",43,0.192270544559035,0.00343006680396728
1,1,0,"P",43,0.132090631460564,0.00159127831655785
0,1,0,"Accuracy",44,0.8355,0.00829181838477321
0,1,0,"H",44,0.165058052187129,0.00301156476117075
0,1,0,"P",44,0.148754768154539,0.00155222461260185
1,1,0,"Accuracy",44,0.826,0.00847926582756357
1,1,0,"H",44,0.151086250903696,0.00269244968046174
1,1,0,"P",44,0.140005074934218,0.00137201990158547
0,1,0,"Accuracy",45,0.85,0.00798635655010924
0,1,0,"H",45,0.181883898851807,0.00260583660662065
0,1,0,"P",45,0.150112588979137,0.00152552077645872
1,1,0,"Accuracy",45,0.84,0.00819961077176254
1,1,0,"H",45,0.194928529221457,0.00315741398045365
1,1,0,"P",45,0.140394455694535,0.00150183439493456
0,1,0,"Accuracy",46,0.858,0.00780695038008559
0,1,0,"H",46,0.194289413176981,0.00259867049815188
0,1,0,"P",46,0.143441376647819,0.00145405194084111
1,1,0,"Accuracy",46,0.849,0.0080082186398032
1,1,0,"H",46,0.192581034530934,0.00284948306338796
1,1,0,"P",46,0.131341571016588,0.00132351752535147
0,1,0,"Accuracy",47,0.827,0.00845998142095013
0,1,0,"H",47,0.190310363184892,0.003213155356078
0,1,0,"P",47,0.152567898958078,0.00156930245850232
1,1,0,"Accuracy",47,0.8155,0.0086756849155774
1,1,0,"H",47,0.177554658310834,0.00308147099869495
1,1,0,"P",47,0.138393470614934,0.00152044527175837
0,1,0,"Accuracy",48,0.81,0.00877430876178423
0,1,0,"H",48,0.232458195297856,0.00337088247730348
0,1,0,"P",48,0.155287437156224,0.00140531316251989
1,1,0,"Accuracy",48,0.809,0.00879193659409218
1,1,0,"H",48,0.22146903795797,0.00358588340503535
1,1,0,"P",48,0.135047639622436,0.00130539581001844
0,1,0,"Accuracy",49,0.8675,0.00758291667583499
0,1,0,"H",49,0.152200956093324,0.00278866201641339
0,1,0,"P",49,0.143505860356836,0.00124491131304965
1,1,0,"Accuracy",49,0.849,0.0080082186398032
1,1,0,"H",49,0.160050435410601,0.00310477762631764
1,1,0,"P",49,0.131384014406696,0.00136237928701881
0,1,0,"Accuracy",50,0.8365,0.00827152247424989
0,1,0,"H",50,0.220194491508769,0.00317558433085639
