"trial","bias_level","mean","error"
14,80,0.00204991581093934,0.00283401232080424
14,90,-1.89782400373617e-04,0.00288021415466088
15,60,0.00265483530735864,0.00294278616734084
15,70,-1.65402079432246e-04,0.00293724309306464
15,80,-0.0014558320444808,0.00286489025267409
15,90,-0.00442735553833235,0.00269648703966735
16,60,4.51852490205403e-04,0.00293277185031379
16,70,0.00101449129614334,0.00292631409018125
16,80,0.00650660537946225,0.00289090222663126
16,90,0.00582107153512393,0.00292494074480725
17,60,-0.00102573088778266,0.00285455004677717
17,70,-0.00298486231504528,0.00284854542730011
17,80,0.00448557600139483,0.00297906230879565
17,90,-4.13727334889374e-05,0.00276299060026808
18,60,-0.0028878089246012,0.00298012979615712
18,70,-7.55204793170009e-04,0.00284533737154815
18,80,-2.42446026305479e-04,0.00292258353800086
18,90,-0.00280719286144222,0.00279992503803258
19,60,-6.17036192971034e-04,0.00298703449361712
19,70,-0.00179399375437029,0.00292477698119027
19,80,-0.00142191020486532,0.00277823647077909
19,90,0.00105879097737084,0.00282090774289437
20,60,0.00441217195373413,0.00281143691341638
20,70,-0.00257568254589072,0.00289615119766541
20,80,0.00292310012191357,0.00282993466068185
20,90,0.00357162832833523,0.00284527303301333
21,60,-0.00298720352067957,0.00286082374935566
21,70,-0.00323942983882521,0.00271377838982861
21,80,0.00113947178807799,0.00277026420041811
21,90,0.00305266350342232,0.00271637899675787
22,60,0.00239976651875542,0.00276985400594673
22,70,-0.00422004852960717,0.00282530690739131
22,80,0.00387737063560669,0.00281725962444716
22,90,-0.0045818841025665,0.002619953957066
23,60,3.59580852092285e-04,0.00277989299442087
23,70,0.00252273578893879,0.00286972474984478
23,80,1.43713951269784e-04,0.00267186180247794
23,90,-0.00117023329988382,0.00277028372997987
24,60,0.00453117925926219,0.00270039269133322
24,70,-0.00326321122783933,0.00274612584308957
24,80,-0.00286558925644763,0.00274072536841424
24,90,-0.00127406753904805,0.00268508811778154
25,60,-0.00207795945384976,0.00271890362691219
25,70,0.0010183088309225,0.00265242850866767
25,80,0.0016784036869527,0.00268504962009259
25,90,-0.00120097188707901,0.00254955898411229
26,60,0.00448186781178505,0.00266292511339371
26,70,3.64325052503318e-04,0.00273322361372933
26,80,-0.00256590817468099,0.00284515255286101
26,90,-0.00105347148416576,0.00269463852376106
27,60,-0.00208929930682614,0.00273744174259707
27,70,0.00152841132811983,0.00270935444904672
27,80,0.0019170243900361,0.00269377462628212
27,90,0.00571296089529429,0.00258783338183103
28,60,-0.00307746248827751,0.00265771549137497
28,70,-0.0022406027996828,0.00258374387300948
28,80,-0.00203696525798366,0.00268319384034008
28,90,0.00209946350153088,0.00262949436472395
29,60,0.0013240503081408,0.00278119221498289
29,70,0.00309461896021723,0.00272450652492168
29,80,-7.63331776955229e-04,0.00263035909266301
29,90,-0.0015528842891428,0.00254288846728478
30,60,-0.00374793036026348,0.00269424970581018
30,70,5.55929142988498e-04,0.00263089024817793
30,80,-0.00515582568520914,0.00260362846188916
30,90,-0.00250314385340321,0.00258983652859828
31,60,-6.94758700171657e-04,0.00256659571740078
31,70,-0.00178813548547575,0.00256825733874868
31,80,-9.22940522181799e-04,0.00256513427471959
31,90,-0.00503432979995636,0.00257839415337868
32,60,9.93511888139552e-05,0.0026822686320461
32,70,-0.00225356766791246,0.0025418110052689
32,80,3.15701054563185e-04,0.00266983251736273
32,90,-0.00313138721330492,0.00243055085901179
33,60,-8.093746077847e-04,0.00258422308037149
33,70,-5.0894511912215e-04,0.00251473044509456
33,80,7.75109260369206e-04,0.00249158773972867
33,90,0.001359040696325,0.00251306105937225
34,60,-0.00245812016799965,0.00251967096631873
34,70,0.0017321189498004,0.00260572657757636
34,80,-1.30806896482577e-04,0.00250489503054202
34,90,5.57835979671326e-04,0.00237295167202161
35,60,0.00234059493129992,0.00252148572821232
35,70,-7.03279882490979e-04,0.0026003317893694
35,80,-0.00211415844072671,0.00255487218737256
35,90,-0.00497760651837943,0.00246102561410677
36,60,-0.00108946163545387,0.00254096124979379
36,70,0.00300886479120223,0.00247166509465129
36,80,-5.56184554785141e-04,0.00259226877819215
36,90,2.1680673352337e-04,0.00237356271749579
37,60,-7.9693704067257e-04,0.00242454111517535
37,70,9.08912566906654e-05,0.00252039934406791
37,80,-0.00370353021617709,0.00245303744566388
37,90,-7.53383106761149e-04,0.00246023318387056
38,60,8.10522937539132e-04,0.00252811750837906
38,70,-0.00152935854413144,0.00249834911070386
38,80,8.38054190514204e-04,0.00251244326564097
38,90,1.19201735234223e-04,0.00250394594379311
39,60,0.00391640265734942,0.00240886669018393
39,70,0.00378624452006949,0.00239324045530604
39,80,0.00772419734511128,0.00255549761691641
39,90,9.55062017950248e-04,0.00237908527885027
40,60,-0.00220595566002294,0.00244339209358679
40,70,0.00123352891702725,0.00248777025643416
40,80,0.00242809677561838,0.00240227997585774
