"Trial","Variable","Mean","Sd","Error","p"
172,"diff_acf_Stimulus",-0.00133732334304838,0.0309808641334958,9.48539980986444e-04,"< 0.05"
173,"diff_acf_Stimulus",-0.00107205499039672,0.0306869868218111,9.39542350112218e-04,"> 0.05"
174,"diff_acf_Stimulus",-0.00132052083711276,0.0299567104443188,9.17295431764785e-04,"< 0.05"
175,"diff_acf_Stimulus",-6.79351466147569e-04,0.0305296571124541,9.34839459581264e-04,"> 0.05"
176,"diff_acf_Stimulus",-0.00140535894050716,0.0299580353220823,9.17447973107188e-04,"> 0.05"
177,"diff_acf_Stimulus",-0.00106291057103462,0.030040628439109,9.19977340837551e-04,"> 0.05"
178,"diff_acf_Stimulus",-6.25581094414808e-04,0.0292315578394168,8.95309306377833e-04,"> 0.05"
179,"diff_acf_Stimulus",-0.00148410569687911,0.0297714063973993,9.11955239819868e-04,"> 0.05"
180,"diff_acf_Stimulus",-0.00168709621956102,0.0289020640838498,8.8532561851626e-04,"< 0.05"
181,"diff_acf_Stimulus",-5.50995729788718e-04,0.0297127576416112,9.22522333160652e-04,"> 0.05"
182,"diff_acf_Stimulus",-0.00144757442648113,0.029243702650806,9.08073047340238e-04,"> 0.05"
183,"diff_acf_Stimulus",-9.77345427181329e-04,0.0286286910765668,8.89198979098343e-04,"> 0.05"
184,"diff_acf_Stimulus",-0.001530417429735,0.0283725173675837,8.81463686618761e-04,"< 0.05"
185,"diff_acf_Stimulus",3.37704277858526e-05,0.0284926242862084,8.85195110443718e-04,"> 0.05"
186,"diff_acf_Stimulus",-0.00114534773302244,0.0276285985017541,8.58351974058189e-04,"< 0.05"
187,"diff_acf_Stimulus",-0.00130881721439876,0.0275617931474651,8.56276497528755e-04,"> 0.05"
188,"diff_acf_Stimulus",-0.00152850833492613,0.0270740321317592,8.4122866215278e-04,"< 0.05"
189,"diff_acf_Stimulus",-7.71877654049413e-04,0.0274788881632486,8.53915424035526e-04,"> 0.05"
190,"diff_acf_Stimulus",-2.16158843995824e-04,0.0273207419384217,8.49107710611766e-04,"> 0.05"
191,"diff_acf_Stimulus",-0.00201575097515958,0.0268346360440509,8.34104784818991e-04,"< 0.05"
192,"diff_acf_Stimulus",-0.00113221244965073,0.0259508608783405,8.06837228829042e-04,"> 0.05"
193,"diff_acf_Stimulus",-0.00207015820073452,0.0256456291273963,8.01187017980858e-04,"< 0.05"
194,"diff_acf_Stimulus",-6.39733519556087e-04,0.0260543593808216,8.13956031026848e-04,"> 0.05"
