"p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.344814755569978,2.323290195988,1.00129989096035,0.918134768313704,0.0670825969075501,3.18591359925336,0.999,547.106388003316,33,33,NA,0,FALSE,TRUE,21.5500000000002,4,5,949,7,"fit_glaze_osc_zeta_v4_mouse",1108.21277600663,1108.33179832332
0.408309496790934,3.34351957027903,0,0.442123222168706,0.199673574851293,3.70507099595479,1.001,657.78213103382,150,150,NA,1,FALSE,TRUE,127.79,4,7,1224,7,"fit_glaze_osc_zeta_v4_mouse",1329.56426206764,1329.6563673308
0.26494263299199,3.49535213948504,3.9700439982996,0.549285033789835,0.110088756854631,2.89006380051382,1.001,435.043858456068,89,89,NA,52,FALSE,FALSE,45.73,4,9,753,7,"fit_glaze_osc_zeta_v4_mouse",884.087716912135,884.238052482605
0.47495392628899,3.03680901536539,1.0664154559643,0,0.025264638633497,2.68312828002993,0.999,392.525996723554,165,165,NA,52,FALSE,FALSE,78.4499999999998,4,13,705,7,"fit_glaze_osc_zeta_v4_mouse",799.051993447108,799.212682112818
0.211742524178992,3.1405922481131,4.48081843258424,0.812414808947019,0.190816562461644,0,1.001,57.4237507525878,98,98,NA,0,FALSE,FALSE,8.7199999999998,4,14,135,7,"fit_glaze_osc_zeta_v4_mouse",128.847501505176,129.729391268955
0.400811648730763,2.88506487298893,0,0.352235392591978,0.139754085434884,2.15447032339072,0.999,126.439402239269,120,120,NA,1,FALSE,TRUE,24.3999999999996,4,16,309,7,"fit_glaze_osc_zeta_v4_mouse",266.878804478539,267.250897501794
0.632683801276228,3.98638372217047,1.03339376841478,0.757847543410931,0.174014687009499,4.64657520893044,1.00097747108587,173.397648845041,151,151,NA,0,FALSE,FALSE,41.7000000000003,4,17,417,7,"fit_glaze_osc_zeta_v4_mouse",360.795297690082,361.069136320889
0.488158551844039,7.34217761716199,1.01901701394665,1.65542869379898,0.0444932698018116,3.00904246398139,0.999714272676376,396.112043973104,39,39,NA,0,FALSE,FALSE,18.9700000000003,4,18,732,7,"fit_glaze_osc_zeta_v4_mouse",806.224087946208,806.378784078805
0.36590960141744,8,0,5.34975467026736,0.0493604359852315,1.69211685843482,1.001,22.8191509911514,68,68,NA,0,FALSE,FALSE,1.78999999999996,4,27,38,7,"fit_glaze_osc_zeta_v4_mouse",59.6383019823028,63.3716353156362
0.01,2.14376697914394,0.769600149939444,0,0.2,1.43617400558657,0.999,32.0530998658691,91,91,NA,0,FALSE,TRUE,4.06999999999971,4,35,65,7,"fit_glaze_osc_zeta_v4_mouse",78.1061997317382,80.07111201244
0.600357948745832,2.61767774832097,0,0.131572687774596,0.025,2.0651424485728,1.001,391.42156354245,86,86,NA,0,FALSE,TRUE,52.0799999999999,5,15,889,7,"fit_glaze_osc_zeta_v4_mouse",796.8431270849,796.970255348237
0.699442192877092,3.36437820193524,0.643081688896784,7.60433124764576e-06,0.195837982338809,3.40629616235424,0.999,324.990235900608,81,81,NA,0,FALSE,FALSE,44.29,5,16,809,7,"fit_glaze_osc_zeta_v4_mouse",663.980471801216,664.120297019693
0.648759491782112,3.878170462945,0,0,0.025,2.84868167269265,0.999,442.2964982826,38,38,NA,0,FALSE,FALSE,28.9400000000001,5,17,1106,7,"fit_glaze_osc_zeta_v4_mouse",898.592996565199,898.695000208186
0.663252363021061,3.14756872565779,0.758058961364753,0.569426355974618,0.0298151683881551,3.61765441885453,1.001,449.793100780884,51,51,NA,0,FALSE,FALSE,26.4400000000001,5,18,768,7,"fit_glaze_osc_zeta_v4_mouse",913.586201561768,913.73356998282
0.728381820393568,4.47675992169212,0.592619439344325,1.02262331347735,0.0452714411039832,6.280043714526,1.00099890512033,275.206616258225,105,105,NA,0,FALSE,FALSE,34.1500000000001,5,20,488,7,"fit_glaze_osc_zeta_v4_mouse",564.41323251645,564.646565849783
0.684721080097715,3.00418972409097,1.01171758884788,0,0.0548430972117098,2.76174642684158,0.999,353.229292968438,62,62,NA,0,FALSE,TRUE,26.1300000000001,5,21,624,7,"fit_glaze_osc_zeta_v4_mouse",720.458585936876,720.640404118694
0.342770503414148,5.20234549542585,0.977057301870991,0.855335351073383,0.119794672257477,3.15886053989221,1.001,428.806600578087,66,66,NA,0,FALSE,FALSE,35.7400000000002,5,31,797,7,"fit_glaze_osc_zeta_v4_mouse",871.613201156175,871.755152993944
