"p1","p2","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.673062780149877,0.906595812103256,133.022453368033,19,19,NA,0,TRUE,TRUE,1.41999999999996,265,200,2,"fit_glaze_osc_zeta_v4_no_amp",270.044906736067,270.105820441651
0.521402519598819,1.46288629295056,126.091229793934,15,15,NA,0,TRUE,TRUE,1.3599999999999,266,200,2,"fit_glaze_osc_zeta_v4_no_amp",256.182459587867,256.243373293451
0.67819391966799,0.756396405425036,134.822886865454,14,14,NA,0,TRUE,TRUE,1.13999999999999,267,200,2,"fit_glaze_osc_zeta_v4_no_amp",273.645773730908,273.706687436492
0.549996757591319,2.20080052638248,112.203485295555,17,17,NA,0,TRUE,TRUE,1.36000000000001,268,200,2,"fit_glaze_osc_zeta_v4_no_amp",228.40697059111,228.467884296694
0.601672948964437,2.42614530429445,107.138682512637,11,11,NA,0,TRUE,TRUE,0.800000000000068,269,200,2,"fit_glaze_osc_zeta_v4_no_amp",218.277365025274,218.338278730858
0.487546294333359,2.36332358301252,109.037836855429,19,19,NA,0,TRUE,TRUE,1.52999999999997,270,200,2,"fit_glaze_osc_zeta_v4_no_amp",222.075673710858,222.136587416442
0.580652671500224,1.63719539713475,122.759503834693,14,14,NA,0,TRUE,TRUE,1.06000000000006,271,200,2,"fit_glaze_osc_zeta_v4_no_amp",249.519007669385,249.579921374969
0.40694759964102,2.76352447991927,98.0891371707027,17,17,NA,0,TRUE,TRUE,1.48000000000002,272,200,2,"fit_glaze_osc_zeta_v4_no_amp",200.178274341405,200.239188046989
0.0263703406032507,0.398203168758139,129.59744757373,30,30,NA,0,FALSE,TRUE,2.40000000000009,273,200,2,"fit_glaze_osc_zeta_v4_no_amp",263.19489514746,263.255808853044
0.540703803342857,1.84937110952535,119.382377946259,16,16,NA,0,TRUE,TRUE,1.23000000000002,274,200,2,"fit_glaze_osc_zeta_v4_no_amp",242.764755892519,242.825669598102
0.446037447774294,3.0451920503865,94.0150294957536,15,15,NA,0,TRUE,TRUE,1.15999999999997,275,200,2,"fit_glaze_osc_zeta_v4_no_amp",192.030058991507,192.090972697091
0.331752913429302,0.383909255663636,137.701611173598,13,13,NA,0,TRUE,TRUE,0.980000000000018,276,200,2,"fit_glaze_osc_zeta_v4_no_amp",279.403222347196,279.46413605278
0.416953121307391,4.01286051450456,74.7219550986883,18,18,NA,0,TRUE,TRUE,1.31000000000006,277,200,2,"fit_glaze_osc_zeta_v4_no_amp",153.443910197377,153.50482390296
0.502215914756419,1.3272483118723,128.206840408841,21,21,NA,0,TRUE,TRUE,1.5,278,200,2,"fit_glaze_osc_zeta_v4_no_amp",260.413680817682,260.474594523266
0.519004494872576,1.01986616438287,132.30188052967,19,19,NA,0,TRUE,TRUE,1.25999999999999,279,200,2,"fit_glaze_osc_zeta_v4_no_amp",268.603761059339,268.664674764923
0.427075383910952,2.27808689575905,109.862580658596,19,19,NA,0,TRUE,TRUE,1.33000000000004,280,200,2,"fit_glaze_osc_zeta_v4_no_amp",223.725161317192,223.786075022776
0.47662234733423,1.74515760536941,121.284400125532,16,16,NA,0,TRUE,TRUE,1.05000000000007,281,200,2,"fit_glaze_osc_zeta_v4_no_amp",246.568800251065,246.629713956649
