"Trial","Variable","Mean","Sd","Error","p"
75,"diff_acf_Stimulus",-4.21139948168596e-04,0.0422594533461565,0.00127880988106761,"> 0.05"
76,"diff_acf_Stimulus",-7.22623067512954e-04,0.042124620919513,0.00127472972796985,"> 0.05"
77,"diff_acf_Stimulus",-5.34793331550697e-04,0.0423516725294342,0.00128160051827329,"> 0.05"
78,"diff_acf_Stimulus",-0.00127127263844905,0.041659932712924,0.00126066783593982,"> 0.05"
79,"diff_acf_Stimulus",-5.16914103468718e-05,0.041236603643721,0.00124785750940281,"> 0.05"
80,"diff_acf_Stimulus",-0.00191351592142258,0.0413845052919622,0.00125233314915252,"> 0.05"
81,"diff_acf_Stimulus",-4.92762565894921e-04,0.042639109392787,0.00129045243938306,"> 0.05"
82,"diff_acf_Stimulus",-0.00104655038220025,0.0416092669044674,0.00125943490068304,"> 0.05"
83,"diff_acf_Stimulus",-3.63677158318217e-04,0.0422521683094266,0.00127889432708829,"> 0.05"
84,"diff_acf_Stimulus",-1.90333861414419e-04,0.041876286434466,0.00126751708381827,"> 0.05"
85,"diff_acf_Stimulus",0.00272421844292246,0.0418562749122455,0.00126691137236562,"> 0.05"
86,"diff_acf_Stimulus",-1.49376479144511e-04,0.0413314248586191,0.00125102514017893,"> 0.05"
87,"diff_acf_Stimulus",-3.05990996692007e-04,0.0409775021726733,0.00124031256060267,"> 0.05"
88,"diff_acf_Stimulus",-0.00198472521262113,0.0420742588675265,0.00127350934011401,"> 0.05"
89,"diff_acf_Stimulus",-1.11714999186198e-04,0.0416313440657587,0.00126025342477621,"> 0.05"
90,"diff_acf_Stimulus",-0.00109635092686018,0.0416415418324767,0.00126056212896821,"> 0.05"
91,"diff_acf_Stimulus",-4.466328152042e-04,0.0413357455370738,0.0012513051415417,"> 0.05"
92,"diff_acf_Stimulus",-5.75170403910811e-04,0.0411715064112594,0.00124633333663281,"> 0.05"
93,"diff_acf_Stimulus",-3.33332787060202e-04,0.0409279507511078,0.00123896048183511,"> 0.05"
94,"diff_acf_Stimulus",3.9182962592536e-04,0.0412397077604606,0.00124839791047336,"> 0.05"
95,"diff_acf_Stimulus",-0.00191415390601622,0.0410508535075733,0.00124268096271859,"> 0.05"
96,"diff_acf_Stimulus",7.67336364319925e-04,0.0406794208147816,0.00123143704701831,"> 0.05"
97,"diff_acf_Stimulus",-7.88029781740234e-04,0.0406726939510026,0.00123138029452422,"> 0.05"
98,"diff_acf_Stimulus",-3.31440408794297e-04,0.0412107288116158,0.0012478183692366,"> 0.05"
99,"diff_acf_Stimulus",-0.00151718966215928,0.0410433232395547,0.00124274950115409,"> 0.05"
2,"diff_acf_History",0.0245324388873404,0.0496994509945368,0.00148254764064416,"< 0.05"
3,"diff_acf_History",0.0087020933708129,0.0488324290811697,0.00145668414987461,"< 0.05"
4,"diff_acf_History",0.00963789591166711,0.0474528159662469,0.00141552992930272,"< 0.05"
5,"diff_acf_History",0.0105180561078031,0.0470216721650118,0.00140266879678499,"< 0.05"
6,"diff_acf_History",0.0076900660977074,0.047196052669364,0.00140787061290425,"< 0.05"
7,"diff_acf_History",0.00838741933014472,0.0472305143820782,0.00140889861482086,"< 0.05"
8,"diff_acf_History",0.00568270861116861,0.0473910911279955,0.00141368866121047,"< 0.05"
9,"diff_acf_History",0.00549541045656024,0.0465800536467251,0.00138949520071402,"< 0.05"
10,"diff_acf_History",0.00576706281711916,0.0468528551825237,0.00139763294198015,"< 0.05"
11,"diff_acf_History",0.00606751878582784,0.0473300736495408,0.00141186849384623,"< 0.05"
12,"diff_acf_History",0.00479544624125012,0.0463102469637814,0.00138144679669298,"< 0.05"
13,"diff_acf_History",0.00340585581900947,0.0469823456695411,0.00140149567712455,"< 0.05"
14,"diff_acf_History",0.00209946903315153,0.0460758505751458,0.00137445469102595,"< 0.05"
15,"diff_acf_History",0.00415165009885667,0.0473099277609867,0.00141126753671397,"< 0.05"
16,"diff_acf_History",0.00565726429278581,0.0476112949967828,0.00142025740029307,"< 0.05"
17,"diff_acf_History",0.00418950430854624,0.0464385837141798,0.00138527511557183,"< 0.05"
18,"diff_acf_History",0.00297375186506318,0.0471557491489398,0.00140666834833354,"< 0.05"
19,"diff_acf_History",0.00400898228938714,0.0457790999620153,0.00136560254251017,"< 0.05"
20,"diff_acf_History",0.00177802998967754,0.046947168468663,0.0014004463320086,"< 0.05"
21,"diff_acf_History",0.00287385231302101,0.0470623011003678,0.00140404339593855,"< 0.05"
22,"diff_acf_History",0.0017803898821295,0.0467506937514378,0.00139474699031958,"< 0.05"
23,"diff_acf_History",0.00177692352823389,0.0461985326822278,0.00137827397296616,"> 0.05"
24,"diff_acf_History",0.00174377121906365,0.0477744307421841,0.00142528887049603,"> 0.05"
25,"diff_acf_History",0.00155577366392065,0.0465144304286763,0.00138769837709265,"> 0.05"
26,"diff_acf_History",0.00254961421940504,0.0461279395991342,0.00137616791886767,"< 0.05"
27,"diff_acf_History",0.00288875797642792,0.0464684575985131,0.00138632683666488,"< 0.05"
28,"diff_acf_History",0.00102549467643187,0.0459245937038508,0.00137010135487296,"> 0.05"
29,"diff_acf_History",0.00194676923514199,0.0466169639014874,0.00139075733175482,"< 0.05"
30,"diff_acf_History",0.00263583684872613,0.0469490418280955,0.0014006644508053,"> 0.05"
31,"diff_acf_History",0.0012256043885353,0.0460801874673638,0.0013747432952584,"> 0.05"
32,"diff_acf_History",0.00124990544784931,0.0457984443453822,0.00136633785054957,"> 0.05"
33,"diff_acf_History",0.00252207009020685,0.0464709243685999,0.00138640042958679,"< 0.05"
34,"diff_acf_History",0.00282417941901946,0.0464425415714046,0.0013855536652334,"> 0.05"
35,"diff_acf_History",0.00207835405816112,0.0466935968520817,0.00139304357755405,"< 0.05"
36,"diff_acf_History",0.00230944541380316,0.0462467769433931,0.00137971327862477,"< 0.05"
37,"diff_acf_History",7.78879515778013e-04,0.0456097369239085,0.00136070800664713,"> 0.05"
38,"diff_acf_History",3.96502845880095e-04,0.0452851488199629,0.00135102433685009,"> 0.05"
39,"diff_acf_History",3.11622888395715e-04,0.0461403851920889,0.00137653921717201,"> 0.05"
40,"diff_acf_History",0.00102743409763871,0.0453014973058327,0.00135151207295908,"> 0.05"
41,"diff_acf_History",0.00109912959811965,0.0456471110847714,0.00136182301680412,"> 0.05"
42,"diff_acf_History",0.00228876914414503,0.0455175796999665,0.00135795861406244,"> 0.05"
43,"diff_acf_History",0.00706780237257658,0.0459794442366872,0.00137173775017433,"< 0.05"
44,"diff_acf_History",0.00244443040644441,0.0459996733255824,0.00137234125909772,"< 0.05"
45,"diff_acf_History",0.00267210094476052,0.045642735602022,0.00136169247988785,"> 0.05"
46,"diff_acf_History",-3.1180540044313e-04,0.0457026898905477,0.00136348113919465,"> 0.05"
47,"diff_acf_History",8.70286745757964e-04,0.0448554796428841,0.00133820570800257,"> 0.05"
48,"diff_acf_History",-8.21478585333755e-04,0.0459018162212963,0.00136942181789306,"> 0.05"
49,"diff_acf_History",-7.11625738503587e-05,0.0445634824209786,0.00132949434537339,"> 0.05"
50,"diff_acf_History",4.69563060706905e-04,0.0442543996554022,0.001320273257461,"> 0.05"
51,"diff_acf_History",5.83664154803278e-05,0.0454953103810848,0.00137656582522257,"> 0.05"
52,"diff_acf_History",0.00100523509475388,0.0454071017113715,0.00137389686793447,"> 0.05"
53,"diff_acf_History",-2.02749638818605e-04,0.045372361860325,0.00137284573340383,"> 0.05"
54,"diff_acf_History",0.00113596505369496,0.0457601664712886,0.0013845796587215,"> 0.05"
55,"diff_acf_History",0.00132332233227085,0.0453504992058076,0.00137218422823318,"> 0.05"
